ID_PAID;DATA;COOKIEID;ID_SEX;ID_ETA;ID_INTERESSE_1;ID_INTERESSE2;ID_INTERESSE3;ID_DEVICE;ID_TYPE;PAGEVIEW_INDEX;NUM;ID_CAMPAIGN;ID_SOTTO1;ID_SOTTO2;ID_SOTTO3;ID_COUNTRY;ID_PROVINCIA;ID_CITY
1709977;03/11/2019;0000000000000000002da5d93ec320589;3;1;25;25;25;1;2;1;2;27;2;2;2;1;11;51
1709978;03/11/2019;0000000000000000002da5d93ec320589;3;1;25;25;25;1;1;1;2;27;2;2;2;1;11;51
1709979;03/11/2019;0000000000000000002da5e3b775c023b;3;1;25;25;25;1;1;5;2;26;2;2;2;1;2;43
1709980;03/11/2019;0000000000000000002da5e3b775c023b;3;1;25;25;25;1;1;5;1;27;2;2;2;1;2;43
1709981;03/11/2019;0000000000000000002da5ea3ce8c0593;1;2;31;26;19;1;1;5;1;26;29;30;27;1;4;4
1709982;03/11/2019;0000000000000000002da5ea3ce8c0593;1;2;31;26;19;1;1;5;1;27;29;30;27;1;4;4
1709983;03/11/2019;0000000000000000002da5eda50d405df;1;5;19;6;21;2;1;1;1;16;27;14;157;1;4;4
1709984;03/11/2019;0000000000000000002da5f33f99e05d7;2;1;34;26;23;2;1;5;1;17;21;86;26;1;25;47
1709985;03/11/2019;0000000000000000002da5f4652f6059c;1;3;32;11;25;2;1;1;1;21;2;2;2;1;4;4
1709986;03/11/2019;0000000000000000002da5fe271280596;3;1;25;25;25;2;1;0;1;26;2;2;2;1;2;78
1709987;03/11/2019;0000000000000000002da5fea03f605bf;3;1;25;25;25;2;1;0;1;19;2;2;2;1;4;4
1709988;03/11/2019;0000000000000000002da617952260599;2;2;26;13;16;2;1;1;1;11;7;2;2;1;4;4
1709989;03/11/2019;0000000000000000002da61b2cc7c05af;3;1;25;25;25;1;1;1;1;26;2;2;2;1;4;4
1709990;03/11/2019;0000000000000000002da620b10d005cd;3;1;25;25;25;2;1;0;1;26;2;2;2;1;2;2
1709991;03/11/2019;0000000000000000002da62a22fd405af;1;5;19;18;33;2;1;3;1;11;53;2;2;1;4;4
1709992;03/11/2019;0000000000000000002da62fe89340580;3;1;25;25;25;2;1;0;1;21;2;2;2;1;3;3
1709993;03/11/2019;0000000000000000002da634fe8e6020c;3;1;25;25;25;2;1;1;1;18;2;2;2;5;16;21
1709994;03/11/2019;0000000000000000002da637dadde05ad;1;1;33;18;25;2;1;4;1;27;2;2;2;1;13;15
1709995;03/11/2019;0000000000000000002da643815de05cb;3;1;25;25;25;2;1;0;1;27;2;2;2;1;3;3
1709996;03/11/2019;0000000000000000002da66be781a05cc;1;3;32;11;28;2;1;2;1;27;11;3;2;1;2;2
1709997;03/11/2019;0000000000000000002da675375a005be;2;3;18;21;23;2;1;5;1;22;71;2;2;1;4;4
1709998;03/11/2019;0000000000000000002da67a0c41a05bd;2;2;13;16;26;2;1;1;3;27;37;2;2;1;6;62
1709999;03/11/2019;0000000000000000002da67c0ac1a05b6;3;1;25;25;25;2;1;1;1;14;2;2;2;1;4;4
1710000;03/11/2019;0000000000000000002da68ab5c4205de;2;4;26;13;34;2;1;2;1;26;208;84;60;1;4;4
1710001;03/11/2019;0000000000000000002da68d15f9a05a6;3;1;25;25;25;1;1;1;1;27;2;2;2;1;4;4
1710002;03/11/2019;0000000000000000002da68d15f9a05a6;3;1;25;25;25;1;1;1;1;26;2;2;2;1;4;4
1710003;03/11/2019;0000000000000000002da69caa7800598;2;1;21;18;25;2;1;3;1;21;2;2;2;1;3;3
